weight,flatwing,tarsus,head,culmen,nalospi,wingchord,Location,Sex
55,56,19.7,30.4,12.1,8.3,13.8,Transition,female
53.5,54.5,20.8,30.6,12.8,8.6,14.8,Marsh,female
55,56,20.3,30.3,11.9,8.7,15.2,Marsh,female
52.5,53.5,20.8,30.3,12.6,8.8,15.5,Marsh,female
53,54,20.6,32.5,13.5,10.7,15.6,Transition,female
55,56,21.5,31.2,12.3,8.7,15.7,Marsh,female
55,56,20.8,31.6,13.2,9.1,15.7,Marsh,female
55.5,56.5,20.5,31.4,13.2,10.5,15.7,Transition,female
55,56.5,20.6,30.6,12.1,8.5,15.8,Marsh,female
54.5,55.5,20,30.7,11.3,8.4,15.8,Marsh,female
53,54.5,19.6,31.2,12.5,8.6,15.8,Marsh,female
54,55,21.1,31.3,13.5,9.6,15.8,Marsh,female
57,58,20.4,30.6,11.5,8.8,15.8,Transition,female
56.5,58.5,19.3,29.2,11.3,7.7,15.9,Transition,female
55.5,56.5,21,29.4,12.2,8.3,16,Marsh,female
55.5,57,20.8,30.1,11.7,7.7,16,Marsh,female
55.5,56,21.8,30.5,12.8,9.5,16,Marsh,female
57,58,21.2,31.2,11.6,8.5,16,Marsh,female
56.5,57,21.2,31.2,12.6,9.1,16,Marsh,female
53.5,54,20.2,30.7,12.5,8.3,16,Transition,female
56.5,57,20.9,31,12.3,8.7,16,Transition,female
56.5,57.5,20,31.1,12.9,9,16,Transition,female
54,55,20,31.8,13.5,9.4,16,Transition,female
51.5,52.5,21.2,31,12.3,8.5,16.1,Marsh,female
56,57,20.4,30.4,11.1,7.8,16.1,Transition,female
54.5,55.5,20.1,29.7,11.8,8,16.2,Marsh,female
58,59,19.5,31.4,12.6,8.4,16.2,Marsh,female
54.5,56,20.7,29.3,11.5,7.1,16.2,Transition,female
53,54,19.3,31.2,12.2,10,16.2,Transition,female
57,58,21.8,31.3,12.8,9.9,16.2,Transition,female
57,58,20.6,31.6,12.6,10.3,16.2,Transition,female
57,57.5,21.4,30.5,12.8,8.4,16.3,Marsh,female
